amfi_code,Maximum_Drawdown,scheme_name,MDD_Rank
119599,-0.5257422117012851,SBI Small Cap Fund - Direct Plan - Growth,40.0
119095,-0.5167775370852656,Axis Small Cap Fund - Regular - Growth,39.0
101207,-0.3544691649336603,ABSL Small Cap Fund - Regular - Growth,38.0
149324,-0.31171900300634214,DSP Small Cap Fund - Regular - Growth,37.0
119598,-0.2870600572176455,SBI Small Cap Fund - Regular Plan - Growth,36.0
102886,-0.2800112356639287,UTI Mid Cap Fund - Regular - Growth,35.0
100016,-0.24734440880673303,HDFC Top 100 Fund - Regular Plan - Growth,34.0
120842,-0.24003511326274884,Kotak Emerging Equity Fund - Regular - Growth,33.0
118634,-0.2334488614483311,Nippon India Small Cap Fund - Regular - Growth,32.0
119093,-0.21751396370148224,Axis Bluechip Fund - Direct - Growth,31.0
102887,-0.21539827112383225,UTI Flexi Cap Fund - Regular - Growth,30.0
125498,-0.21117279560132118,HDFC Mid-Cap Opportunities Fund - Direct - Growth,29.0
119094,-0.20960883862039192,Axis Midcap Fund - Regular - Growth,28.0
120506,-0.1982565826298267,ICICI Pru Value Discovery Fund - Regular - Growth,27.0
118633,-0.18629743138595511,Nippon India Large Cap Fund - Direct - Growth,26.0
120505,-0.18188513572116294,ICICI Pru Midcap Fund - Regular - Growth,25.0
120841,-0.1757361416468729,Kotak Bluechip Fund - Regular - Growth,24.0
118632,-0.17414075086657232,Nippon India Large Cap Fund - Regular - Growth,23.0
149323,-0.17248105753451382,DSP Midcap Fund - Regular - Growth,22.0
148569,-0.1639674294693263,Mirae Asset Tax Saver Fund - Regular - Growth,21.0
100033,-0.16217208574644848,HDFC Mid-Cap Opportunities Fund - Regular - Growth,20.0
148568,-0.1527259422823477,Mirae Asset Emerging Bluechip Fund - Regular - Growth,19.0
125497,-0.15200013055606398,HDFC Top 100 Fund - Direct Plan - Growth,18.0
119551,-0.1501238549864533,SBI Bluechip Fund - Regular Plan - Growth,17.0
149322,-0.14844576917771746,DSP Top 100 Equity Fund - Regular - Growth,16.0
119092,-0.1440161790933726,Axis Bluechip Fund - Regular - Growth,15.0
120503,-0.13897862823061635,ICICI Pru Bluechip Fund - Regular - Growth,14.0
120843,-0.1297396816518679,Kotak Flexicap Fund - Regular - Growth,13.0
120504,-0.12588275606922517,ICICI Pru Bluechip Fund - Direct - Growth,12.0
119552,-0.11803493502764295,SBI Bluechip Fund - Direct Plan - Growth,11.0
118635,-0.1165062450540909,Nippon India ETF Nifty 50 BeES,10.0
101206,-0.11291596329323073,ABSL Frontline Equity Fund - Regular - Growth,9.0
148567,-0.11265729075028275,Mirae Asset Large Cap Fund - Regular - Growth,8.0
102885,-0.1085986215250232,UTI Nifty 50 Index Fund - Regular - Growth,7.0
118636,-0.08316361763638702,Nippon India Gilt Securities Fund - Regular - Growth,6.0
119120,-0.04328728923970093,SBI Magnum Gilt Fund - Regular Plan - Growth,5.0
100025,-0.04308263824636349,HDFC Short Term Debt Fund - Regular - Growth,4.0
101208,-0.0016224980244717857,ABSL Liquid Fund - Regular - Growth,3.0
120844,-0.0011629327956168556,Kotak Liquid Fund - Regular - Growth,2.0
120507,-0.0009773140045925555,ICICI Pru Liquid Fund - Regular - Growth,1.0
