trading_day,nav_p05,nav_median,nav_p95
0,207.5217,207.5217,207.5217
1,204.38475673168142,207.66895255039776,210.99575812472574
2,203.3267557567058,207.88365752478316,212.65139648549922
3,202.56343144777205,208.06537190025605,213.84160054555042
4,201.8208218080392,208.19951346942125,214.96407758250103
5,201.25513534744246,208.3426802624613,215.8642785160547
6,200.72102690816774,208.55269041123523,216.75056076164685
7,200.2949408262233,208.73235490092532,217.516829448597
8,199.87036521216316,208.90689604614988,218.326506479168
9,199.561236978662,209.0521021214072,219.06741276330328
10,199.22565376332585,209.19535087482387,219.80519572895125
11,198.78081708026954,209.3416630477755,220.69770947049747
12,198.54751505552136,209.51343731511486,221.42879083266098
13,198.15023358596912,209.58154177463075,222.12770647217584
14,197.90009481045337,209.87303383723003,222.92535596010106
15,197.6890036308354,209.93472695110177,223.6091094844995
16,197.47957654096442,210.10601946440374,224.08035508591402
17,197.39605410300257,210.23615770419855,224.712094805049
18,196.98188638709098,210.49168593865835,225.4334371846916
19,196.79041737862931,210.6989420838883,225.93761725636946
20,196.56957201580303,210.90901403710848,226.38316759784212
21,196.42898636774282,211.10148481787155,227.01880848631265
22,196.3791167304287,211.21921727992324,227.56174412853457
23,196.41641604956075,211.47343101350276,228.2451791879528
24,196.33183966117244,211.67800889553328,228.71066878674063
25,196.2549520810416,211.76974753579753,229.43017772763497
26,196.0346485334323,211.96923261634785,229.79988400512474
27,195.8524149251101,212.17389802585245,230.41073138168792
28,195.83656790919184,212.42107590299887,231.18720078267293
29,195.5264835821623,212.6098394722593,231.55972309100002
30,195.4337806311794,212.7015319396678,232.00018522572134
31,195.0102078453723,212.85984071138853,232.49442783333555
32,195.026343787701,213.08409758784478,233.0304400633701
33,194.8691365893473,213.17437325779065,234.00076278520152
34,194.683720779711,213.4172367991653,234.23256933023956
35,194.87521890406407,213.60354293889904,234.5253676700626
36,194.70386209384975,213.72667494079047,235.28997635474525
37,194.7641948861795,213.9208742924058,235.5014579925057
38,194.45662499972698,214.23590494996432,236.0341172091285
39,194.4506725312475,214.22565677281204,236.5463618616704
40,194.18562686547574,214.5264594160771,237.13256875366045
41,193.94691045688347,214.66427139864396,237.83934783264235
42,194.04985235698638,214.89183487510172,238.24347236455915
43,193.82292974817207,215.0177662302387,238.52718464940588
44,193.85169299254326,215.2226645144985,239.01806040665633
45,193.8633087453357,215.3101189437067,239.48716901914688
46,193.8979913451037,215.63143989611422,240.04113707221464
47,193.84901601509273,215.8727882648392,240.6475511180055
48,193.8604090716082,216.05879039350646,241.1380376820114
49,193.77001743517081,216.17220841269858,241.5433479857175
50,193.70730129101696,216.33208474667532,242.04839896965166
51,193.72324761838726,216.46806473401222,242.54953942317945
52,193.71423270668754,216.56086814230684,243.27716583767733
53,193.71169714520602,216.717506280581,243.68513174602893
54,193.68196642820186,216.907323889015,243.82014823816138
55,193.76024015015037,217.1645333482526,244.56623710883304
56,193.51490084936052,217.29357928364112,244.7175583119118
57,193.24122903436347,217.5274022813435,245.21767196524976
58,193.32806680398986,217.68672108371453,245.37889593686018
59,193.06080595269148,217.90330222750381,246.03092728589306
60,193.13551925633473,218.05193687893512,246.37226175118428
61,193.2779082755502,218.20409216310256,247.11650852558319
62,193.3246428442295,218.32878549094556,247.5028911392806
63,193.08926970422073,218.547399918869,247.8949693885762
64,192.90552119473492,218.70522963412213,248.53080786240494
65,192.9550779011947,218.77191847477582,248.71540923566604
66,192.9794197567977,218.98108485131047,249.11247809235584
67,192.94332837580626,219.08480975899712,249.51705570165845
68,193.05099437893608,219.2910635948245,249.8589159187268
69,192.94485614058874,219.43526939609887,250.43475201082495
70,192.8166713125016,219.70028559954113,250.72063926377908
71,192.62150114648466,219.91097458704945,251.40926561960103
72,192.71878830136657,220.17387988026593,251.65954329729618
73,192.59913165121708,220.35950740779782,252.16889463137773
74,192.4333241559275,220.5437343023594,252.53247820788147
75,192.29272147972148,220.82443454537463,252.66588390097945
76,192.27356633398384,221.12322592757147,253.2206228196038
77,192.71452073672972,221.2899511562249,253.80340817881023
78,192.57896866933248,221.4593934395874,254.1965618362157
79,192.5927350355489,221.72125199224251,254.58846970294883
80,192.39892047903,221.89584982998497,255.1560131413163
81,192.50074078654663,222.09224317435607,255.4975750472776
82,192.35577410766564,222.18233849975985,255.57119626962432
83,192.57226173615564,222.15089900294342,256.34096794254833
84,192.51666211465982,222.37948753069702,256.79491202987634
85,192.54430422538334,222.4677894895208,257.61735992780405
86,192.52144325997594,222.64379842467633,257.9589439742476
87,192.21695404314525,222.9627311811197,258.42828571287873
88,192.15896967072055,223.24714054574008,258.6349690136618
89,192.2307296405644,223.30000948022172,259.2017436999731
90,192.0924654478877,223.5232827263189,259.52372934412796
91,192.20809163851044,223.77552013611825,259.8845075878343
92,192.23853925469638,224.0826170931697,260.48626849298347
93,192.08665367150564,224.16494687295994,261.3603305389816
94,192.32648050901324,224.44908174836047,261.41337161722333
95,192.18088167186073,224.76489822915056,261.7758983287241
96,192.42215533738332,224.99172851424876,262.457874853634
97,192.5606598082607,225.1333503520828,263.02089235581786
98,192.29379897627126,225.26879251849533,263.11958341162654
99,192.31588212957132,225.54251939058113,263.9693571118878
100,192.64268640145806,225.77622535839225,264.1621203111161
101,192.41831034508533,225.9685187684749,264.8684002562651
102,192.58623993751698,226.11893199065372,265.1192351007323
103,192.2451569146218,226.34301236182426,265.91932852018755
104,192.37857789088696,226.49300599791843,265.87778481829446
105,192.43568990407837,226.7924352016596,266.4834085459585
106,192.53456734430623,226.8333426389582,267.0298542444614
107,192.78403223688386,227.12522598301484,267.31954849470316
108,192.47305855408177,227.30833539470515,267.7403788617554
109,192.80372036292442,227.51405144695843,268.3554882997058
110,192.9099830398232,227.68571993574275,268.8112091053858
111,192.72544629110575,227.81003071292872,269.2384742707583
112,193.10227465606823,228.18114309045436,269.8724444379772
113,192.7597955248698,228.27259775907407,270.46463182704
114,192.9298025674247,228.47152753513393,270.2993150146754
115,193.0361870506504,228.6194168319064,271.0606367205155
116,192.95090103211436,228.7574434921279,271.6137101869241
117,192.5555072354571,228.85772160204073,272.0902283255707
118,192.3334614327865,229.23486881400999,272.2903791203234
119,192.70133154573847,229.50424778836782,272.970847304223
120,192.6563346319996,229.54421158647338,273.0784456487281
121,192.69226235777072,229.9204251477824,273.5409385023213
122,193.00084909167177,230.127009778443,274.0115511149503
123,193.02660226061099,230.27898503590345,274.5078192176236
124,192.94381555045692,230.37293118067748,275.2484574373398
125,192.99658178619515,230.61336489099182,275.3909767807277
126,192.87703603693512,230.90568569596675,276.11243443525353
127,193.06816510171382,231.0755835291904,276.2300315572231
128,193.1378746860458,231.39436194588842,276.6807362125401
129,192.997005682003,231.51367466279734,276.50091022284244
130,193.21574039188212,231.72502282124003,277.15325045266394
131,193.48421548682302,231.8863160068742,277.5576863687093
132,193.4912931512128,231.98867383871627,278.27267629649674
133,193.6350464615928,232.38209270219005,279.1282253553364
134,193.95783734005337,232.4971969927031,279.36326904153816
135,193.53330500123306,232.63220697404495,279.93641888174636
136,193.7334141672684,232.6873832997866,279.7055803901709
137,193.6970210022557,232.98001188784792,280.1508795750434
138,193.4733518656814,233.25421755629898,280.7447586382886
139,193.6204731154239,233.42409675826048,281.45613554546844
140,193.8849863943436,233.5302244237601,281.71396802528386
141,193.679148240731,233.63656272571922,282.3234302071226
142,193.78786909182656,233.86181442093513,282.35468535640484
143,193.79799184118198,233.9173353463985,282.72561980221576
144,193.94908404863668,234.1678533327814,283.0964975884346
145,193.98953140512148,234.33679674642335,284.0182540077514
146,193.58247910159108,234.491575928347,284.15928502703343
147,193.95500431726862,234.63723904291692,284.44871266187124
148,193.72886529685186,234.85179656468347,285.07031406940087
149,193.8493010681675,235.0921561356247,285.13643148968373
150,193.97181525807784,235.33988596669315,285.3119870449651
151,194.12690906280045,235.53239971421038,285.90894698182353
152,194.30024692357608,235.8291709114754,286.64661933417267
153,194.3196827305102,235.96670030024592,287.23214066361174
154,194.41976224947945,236.34459746910915,287.06879499244315
155,194.3934437452759,236.5043782595879,287.61959798806726
156,194.3479430191404,236.6431163530303,288.1441149011798
157,194.1992313500571,236.96567980332392,288.78607337208945
158,194.3652690856133,237.15972771027816,289.0118875337969
159,194.22844479788665,237.31361948515382,289.54160694098397
160,194.58185598823138,237.5160640975268,290.32015060616305
161,194.7455588743006,237.70214866907202,290.8194248158409
162,194.50112325947194,237.90372861778332,291.1428932253937
163,194.52754381457626,238.13336452488696,291.7972977594084
164,194.8223412892196,238.2145626585594,292.14443112469195
165,194.8260903544573,238.4158049210227,292.7633588715965
166,194.86183148286256,238.71379591485785,293.0062356865174
167,195.17890094226962,239.1484366923803,293.1907557962277
168,195.13769235306708,239.09149640976335,294.03250660700144
169,194.82926788615043,239.29039941688586,294.30450639026077
170,195.1455781940094,239.55599411880647,294.98752798556626
171,195.66815999136858,239.4738582534852,295.68856384656885
172,195.28464387025411,239.74788754991712,295.987742928731
173,195.65295012492712,240.16805746686157,295.93962809940103
174,195.65058139845897,240.463025877829,296.3587141443214
