amfi_code,date,nav
120465,2013-01-02,12.28
120465,2013-01-03,12.32
120465,2013-01-04,12.35
120465,2013-01-07,12.28
120465,2013-01-08,12.34
120465,2013-01-09,12.28
120465,2013-01-10,12.29
120465,2013-01-11,12.25
120465,2013-01-14,12.37
120465,2013-01-15,12.41
120465,2013-01-16,12.28
120465,2013-01-17,12.33
120465,2013-01-18,12.4
120465,2013-01-21,12.39
120465,2013-01-22,12.33
120465,2013-01-23,12.33
120465,2013-01-24,12.26
120465,2013-01-25,12.39
120465,2013-01-28,12.39
120465,2013-01-29,12.34
120465,2013-01-30,12.36
120465,2013-01-31,12.33
120465,2013-02-01,12.28
120465,2013-02-04,12.3
120465,2013-02-05,12.24
120465,2013-02-06,12.25
120465,2013-02-07,12.22
120465,2013-02-08,12.19
120465,2013-02-11,12.14
120465,2013-02-12,12.19
120465,2013-02-13,12.24
120465,2013-02-14,12.21
120465,2013-02-15,12.23
120465,2013-02-18,12.23
120465,2013-02-19,12.28
120465,2013-02-20,12.3
120465,2013-02-21,12.19
120465,2013-02-22,12.16
120465,2013-02-25,12.18
120465,2013-02-26,12.06
120465,2013-02-27,12.1
120465,2013-02-28,11.96
120465,2013-03-01,12.02
120465,2013-03-04,12.0
120465,2013-03-05,12.13
120465,2013-03-06,12.18
120465,2013-03-07,12.26
120465,2013-03-08,12.4
120465,2013-03-11,12.42
120465,2013-03-12,12.38
120465,2013-03-13,12.27
120465,2013-03-14,12.37
120465,2013-03-15,12.32
120465,2013-03-18,12.27
120465,2013-03-19,12.16
120465,2013-03-20,12.04
120465,2013-03-21,12.01
120465,2013-03-22,11.96
120465,2013-03-25,11.96
120465,2013-03-26,12.04
120465,2013-03-28,12.14
120465,2013-04-01,12.16
120465,2013-04-02,12.27
120465,2013-04-03,12.19
120465,2013-04-04,12.01
120465,2013-04-05,11.98
120465,2013-04-08,11.97
120465,2013-04-09,11.91
120465,2013-04-10,12.02
120465,2013-04-11,12.11
120465,2013-04-12,12.0
120465,2013-04-15,12.04
120465,2013-04-16,12.3
120465,2013-04-17,12.31
120465,2013-04-18,12.49
120465,2013-04-22,12.64
120465,2013-04-23,12.61
120465,2013-04-25,12.77
120465,2013-04-26,12.67
120465,2013-04-29,12.71
120465,2013-04-30,12.77
120465,2013-05-02,12.9
120465,2013-05-03,12.8
120465,2013-05-06,12.84
120465,2013-05-07,12.93
120465,2013-05-08,13.02
120465,2013-05-09,12.99
120465,2013-05-10,13.07
120465,2013-05-13,12.86
120465,2013-05-14,12.89
120465,2013-05-15,13.14
120465,2013-05-16,13.14
120465,2013-05-17,13.14
120465,2013-05-20,13.08
120465,2013-05-21,13.01
120465,2013-05-22,13.0
120465,2013-05-23,12.81
120465,2013-05-24,12.82
120465,2013-05-27,12.98
120465,2013-05-28,13.09
120465,2013-05-29,13.11
120465,2013-05-30,13.16
120465,2013-05-31,12.93
120465,2013-06-03,12.84
120465,2013-06-04,12.79
120465,2013-06-05,12.8
120465,2013-06-06,12.81
120465,2013-06-07,12.76
120465,2013-06-10,12.75
120465,2013-06-11,12.58
120465,2013-06-12,12.53
120465,2013-06-13,12.42
120465,2013-06-14,12.62
120465,2013-06-17,12.68
120465,2013-06-18,12.62
120465,2013-06-19,12.64
120465,2013-06-20,12.35
120465,2013-06-21,12.42
120465,2013-06-24,12.24
120465,2013-06-25,12.25
120465,2013-06-26,12.22
120465,2013-06-27,12.38
120465,2013-06-28,12.67
120465,2013-07-01,12.77
120465,2013-07-02,12.72
120465,2013-07-03,12.56
120465,2013-07-04,12.7
120465,2013-07-05,12.76
120465,2013-07-08,12.64
120465,2013-07-09,12.72
120465,2013-07-10,12.66
120465,2013-07-11,12.85
120465,2013-07-12,12.98
120465,2013-07-15,13.01
120465,2013-07-16,12.87
120465,2013-07-17,12.88
120465,2013-07-18,12.97
120465,2013-07-19,12.93
120465,2013-07-22,12.93
120465,2013-07-23,13.0
120465,2013-07-24,12.87
120465,2013-07-25,12.76
120465,2013-07-26,12.76
120465,2013-07-29,12.64
120465,2013-07-30,12.48
120465,2013-07-31,12.43
120465,2013-08-01,12.41
120465,2013-08-02,12.35
120465,2013-08-05,12.39
120465,2013-08-06,12.1
120465,2013-08-07,12.09
120465,2013-08-08,12.19
120465,2013-08-12,12.25
120465,2013-08-13,12.42
120465,2013-08-14,12.49
120465,2013-08-16,12.09
120465,2013-08-19,11.91
120465,2013-08-20,11.89
120465,2013-08-21,11.68
120465,2013-08-22,11.84
