amfi_code,date,nav
120586,2013-01-02,18.66
120586,2013-01-03,18.73
120586,2013-01-04,18.76
120586,2013-01-07,18.72
120586,2013-01-08,18.76
120586,2013-01-09,18.76
120586,2013-01-10,18.77
120586,2013-01-11,18.69
120586,2013-01-14,18.84
120586,2013-01-15,18.94
120586,2013-01-16,18.78
120586,2013-01-17,18.94
120586,2013-01-18,18.97
120586,2013-01-21,19.08
120586,2013-01-22,18.93
120586,2013-01-23,18.91
120586,2013-01-24,18.8
120586,2013-01-25,18.99
120586,2013-01-28,19.02
120586,2013-01-29,18.89
120586,2013-01-30,18.89
120586,2013-01-31,18.78
120586,2013-02-01,18.74
120586,2013-02-04,18.67
120586,2013-02-05,18.55
120586,2013-02-06,18.57
120586,2013-02-07,18.49
120586,2013-02-08,18.39
120586,2013-02-11,18.38
120586,2013-02-12,18.48
120586,2013-02-13,18.47
120586,2013-02-14,18.4
120586,2013-02-15,18.35
120586,2013-02-18,18.36
120586,2013-02-19,18.5
120586,2013-02-20,18.51
120586,2013-02-21,18.24
120586,2013-02-22,18.26
120586,2013-02-25,18.28
120586,2013-02-26,18.07
120586,2013-02-27,18.14
120586,2013-02-28,17.87
120586,2013-03-01,17.97
120586,2013-03-04,17.92
120586,2013-03-05,18.11
120586,2013-03-06,18.24
120586,2013-03-07,18.33
120586,2013-03-08,18.56
120586,2013-03-11,18.53
120586,2013-03-12,18.45
120586,2013-03-13,18.25
120586,2013-03-14,18.42
120586,2013-03-15,18.27
120586,2013-03-18,18.16
120586,2013-03-19,17.96
120586,2013-03-20,17.76
120586,2013-03-21,17.64
120586,2013-03-22,17.59
120586,2013-03-25,17.51
120586,2013-03-26,17.49
120586,2013-03-28,17.67
120586,2013-04-01,17.72
120586,2013-04-02,17.82
120586,2013-04-03,17.58
120586,2013-04-04,17.31
120586,2013-04-05,17.29
120586,2013-04-08,17.32
120586,2013-04-09,17.15
120586,2013-04-10,17.36
120586,2013-04-11,17.46
120586,2013-04-12,17.34
120586,2013-04-15,17.41
120586,2013-04-16,17.66
120586,2013-04-17,17.72
120586,2013-04-18,17.89
120586,2013-04-22,18.06
120586,2013-04-23,18.03
120586,2013-04-25,18.24
120586,2013-04-26,18.22
120586,2013-04-29,18.35
120586,2013-04-30,18.43
120586,2013-05-02,18.57
120586,2013-05-03,18.37
120586,2013-05-06,18.47
120586,2013-05-07,18.68
120586,2013-05-08,18.72
120586,2013-05-09,18.66
120586,2013-05-10,18.87
120586,2013-05-13,18.54
120586,2013-05-14,18.61
120586,2013-05-15,18.98
120586,2013-05-16,19.08
120586,2013-05-17,19.1
