amfi_code,date,nav
119598,2013-01-02,16.83
119598,2013-01-03,16.86
119598,2013-01-04,16.88
119598,2013-01-07,16.8
119598,2013-01-08,16.84
119598,2013-01-09,16.8
119598,2013-01-10,16.78
119598,2013-01-11,16.72
119598,2013-01-14,16.92
119598,2013-01-15,17.03
119598,2013-01-16,16.89
119598,2013-01-17,17.01
119598,2013-01-18,17.02
119598,2013-01-21,17.06
119598,2013-01-22,16.96
119598,2013-01-23,17.0
119598,2013-01-24,16.85
119598,2013-01-25,16.98
119598,2013-01-28,17.04
119598,2013-01-29,16.93
119598,2013-01-30,16.93
119598,2013-01-31,16.89
119598,2013-02-01,16.88
119598,2013-02-04,16.83
119598,2013-02-05,16.72
119598,2013-02-06,16.74
119598,2013-02-07,16.68
119598,2013-02-08,16.63
119598,2013-02-11,16.59
119598,2013-02-12,16.6798
119598,2013-02-13,16.7595
119598,2013-02-14,16.6197
119598,2013-02-15,16.6134
119598,2013-02-18,16.6177
119598,2013-02-19,16.7325
119598,2013-02-20,16.7554
119598,2013-02-21,16.5001
119598,2013-02-22,16.5206
119598,2013-02-25,16.4798
119598,2013-02-26,16.2629
119598,2013-02-27,16.408
119598,2013-02-28,16.1897
119598,2013-03-01,16.2361
119598,2013-03-04,16.1731
119598,2013-03-05,16.4118
119598,2013-03-06,16.5125
119598,2013-03-07,16.6616
119598,2013-03-08,16.8485
119598,2013-03-11,16.8658
119598,2013-03-12,16.8233
119598,2013-03-13,16.6575
119598,2013-03-14,16.8129
119598,2013-03-15,16.687
119598,2013-03-18,16.5846
119598,2013-03-19,16.3344
119598,2013-03-20,16.1719
119598,2013-03-21,16.1323
119598,2013-03-22,16.0831
119598,2013-03-25,16.0455
119598,2013-03-26,16.064
119598,2013-03-28,16.1772
119598,2013-04-01,16.2103
119598,2013-04-02,16.321
119598,2013-04-03,16.1371
119598,2013-04-04,15.8821
119598,2013-04-05,15.8657
119598,2013-04-08,15.8538
119598,2013-04-09,15.7289
119598,2013-04-10,15.8859
119598,2013-04-11,15.9803
119598,2013-04-12,15.7761
119598,2013-04-15,15.8321
119598,2013-04-16,16.1075
119598,2013-04-17,16.1403
119598,2013-04-18,16.3483
119598,2013-04-22,16.5524
119598,2013-04-23,16.5453
119598,2013-04-25,16.7046
119598,2013-04-26,16.6551
119598,2013-04-29,16.7312
119598,2013-04-30,16.7627
119598,2013-05-02,16.9062
119598,2013-05-03,16.7842
119598,2013-05-06,16.9087
119598,2013-05-07,17.0592
119598,2013-05-08,17.1553
119598,2013-05-09,17.1215
119598,2013-05-10,17.2357
119598,2013-05-13,16.9326
119598,2013-05-14,17.0222
119598,2013-05-15,17.4025
119598,2013-05-16,17.4703
119598,2013-05-17,17.3664
119598,2013-05-20,17.3153
119598,2013-05-21,17.204
119598,2013-05-22,17.1413
119598,2013-05-23,16.8248
119598,2013-05-24,16.8372
119598,2013-05-27,17.0716
119598,2013-05-28,17.143
119598,2013-05-29,17.083
119598,2013-05-30,17.1285
119598,2013-05-31,16.8308
119598,2013-06-03,16.6941
119598,2013-06-04,16.6661
119598,2013-06-05,16.696
119598,2013-06-06,16.7075
119598,2013-06-07,16.6504
119598,2013-06-10,16.5959
119598,2013-06-11,16.2896
119598,2013-06-12,16.219
119598,2013-06-13,16.0286
119598,2013-06-14,16.3147
119598,2013-06-17,16.4447
119598,2013-06-18,16.3619
119598,2013-06-19,16.4117
119598,2013-06-20,15.9945
119598,2013-06-21,15.9422
119598,2013-06-24,15.6839
119598,2013-06-25,15.71
119598,2013-06-26,15.714
119598,2013-06-27,15.9428
119598,2013-06-28,16.2722
119598,2013-07-01,16.4126
119598,2013-07-02,16.3522
119598,2013-07-03,16.1395
119598,2013-07-04,16.3692
119598,2013-07-05,16.3812
119598,2013-07-08,16.3156
119598,2013-07-09,16.3999
119598,2013-07-10,16.35
119598,2013-07-11,16.6036
119598,2013-07-12,16.7125
119598,2013-07-15,16.8901
119598,2013-07-16,16.6292
119598,2013-07-17,16.5877
119598,2013-07-18,16.7354
119598,2013-07-19,16.7287
119598,2013-07-22,16.6986
119598,2013-07-23,16.7637
119598,2013-07-24,16.4702
119598,2013-07-25,16.2892
119598,2013-07-26,16.2336
119598,2013-07-29,16.1097
119598,2013-07-30,15.8668
119598,2013-07-31,15.8663
119598,2013-08-01,15.8331
119598,2013-08-02,15.7288
119598,2013-08-05,15.7476
119598,2013-08-06,15.3392
119598,2013-08-07,15.2791
119598,2013-08-08,15.3945
119598,2013-08-12,15.6539
119598,2013-08-13,15.8852
119598,2013-08-14,15.9522
119598,2013-08-16,15.3453
119598,2013-08-19,15.0828
