amfi_code,Annual_Return,Annual_Std,Sharpe_Ratio,scheme_name,Sharpe_Rank,risk_grade
148567,0.2705662016691684,0.1419370675462034,1.4482911703262604,Mirae Asset Large Cap Fund - Regular - Growth,1.0,Moderate
120843,0.2726022383393478,0.1588698652360925,1.306743969542841,Kotak Flexicap Fund - Regular - Growth,2.0,Moderately High
148569,0.2832616153888044,0.176740066913467,1.2349300257743292,Mirae Asset Tax Saver Fund - Regular - Growth,3.0,High
119551,0.2310331546138718,0.1374143414187964,1.2082665673727178,SBI Bluechip Fund - Regular Plan - Growth,4.0,Moderate
120505,0.2926527249840709,0.1929094940631819,1.1801011976606497,ICICI Pru Midcap Fund - Regular - Growth,5.0,High
149323,0.26590814851467,0.1774615939755082,1.1321218524747252,DSP Midcap Fund - Regular - Growth,6.0,High
100033,0.2721105684715236,0.1893671083521416,1.093698743534631,HDFC Mid-Cap Opportunities Fund - Regular - Growth,7.0,High
118632,0.2180369513249999,0.1414835229499666,1.0816591793457038,Nippon India Large Cap Fund - Regular - Growth,8.0,Moderate
101206,0.2146466240023027,0.1456821284745432,1.0272133278753697,ABSL Frontline Equity Fund - Regular - Growth,9.0,Moderate
120504,0.2124476957328343,0.1436378056673665,1.0265242847993006,ICICI Pru Bluechip Fund - Direct - Growth,10.0,Moderate
119094,0.2587278597767398,0.1940711742333473,0.9982309868636404,Axis Midcap Fund - Regular - Growth,11.0,High
119552,0.197881133444817,0.1393936761271749,0.953279496866011,SBI Bluechip Fund - Direct Plan - Growth,12.0,Moderate
149324,0.300931229977172,0.2484020500524207,0.949795824661604,DSP Small Cap Fund - Regular - Growth,13.0,Very High
119598,0.3026559657235125,0.2514057862438468,0.9453082575156092,SBI Small Cap Fund - Regular Plan - Growth,14.0,Very High
148568,0.2079182129335927,0.154291444698233,0.926287346736014,Mirae Asset Emerging Bluechip Fund - Regular - Growth,15.0,Moderately High
102885,0.1698880055769282,0.1283662839786055,0.817099337349437,UTI Nifty 50 Index Fund - Regular - Growth,16.0,Moderate
120503,0.1757940429247065,0.1388443751311979,0.7979728586052844,ICICI Pru Bluechip Fund - Regular - Growth,17.0,Moderate
125497,0.1787996380243675,0.1466886675239951,0.7757902498211205,HDFC Top 100 Fund - Direct Plan - Growth,18.0,Moderate
118635,0.1513194404086355,0.129831588743163,0.6648569985490621,Nippon India ETF Nifty 50 BeES,19.0,Moderate
120506,0.16382758819055,0.1523051637967307,0.6488787755249528,ICICI Pru Value Discovery Fund - Regular - Growth,20.0,Moderately High
118633,0.1553110636183571,0.1399721364918615,0.6452074382933218,Nippon India Large Cap Fund - Direct - Growth,21.0,Moderate
102887,0.1626258549662886,0.15758366917913,0.6195175900829826,UTI Flexi Cap Fund - Regular - Growth,22.0,Moderately High
120507,0.0674484404275901,0.004939126259512,0.495723392953312,ICICI Pru Liquid Fund - Regular - Growth,23.0,Low
120841,0.1315478451977995,0.1346379580078445,0.4942725378672348,Kotak Bluechip Fund - Regular - Growth,24.0,Moderate
149322,0.1316072849664992,0.1435385981851051,0.4640374492204773,DSP Top 100 Equity Fund - Regular - Growth,25.0,Moderate
118634,0.1781915642892773,0.2524152094634045,0.4484340089089915,Nippon India Small Cap Fund - Regular - Growth,26.0,Very High
125498,0.1201695926435306,0.1835243008733577,0.3006119210425479,HDFC Mid-Cap Opportunities Fund - Direct - Growth,27.0,High
101207,0.1069621227736075,0.2579732221707771,0.1626607692864678,ABSL Small Cap Fund - Regular - Growth,28.0,Very High
119093,0.0831243783814954,0.1398329559363886,0.1296144979566932,Axis Bluechip Fund - Direct - Growth,29.0,Moderate
120842,0.0785999562133648,0.1789471500657187,0.0759998480465892,Kotak Emerging Equity Fund - Regular - Growth,30.0,High
119092,0.069294690301044,0.1395066134112384,0.0307848509545859,Axis Bluechip Fund - Regular - Growth,31.0,Moderate
119599,0.0507318653023297,0.2495012512285586,-0.0571866258281799,SBI Small Cap Fund - Direct Plan - Growth,32.0,Very High
119095,0.0459560238258996,0.2506658023260043,-0.0759735711747892,Axis Small Cap Fund - Regular - Growth,33.0,Very High
120844,0.0645444449982322,0.0051331704873711,-0.0887472962155728,Kotak Liquid Fund - Regular - Growth,34.0,Low
100016,0.0356830253620113,0.1454813480218387,-0.2015170675596693,HDFC Top 100 Fund - Regular Plan - Growth,35.0,Moderate
102886,0.0276733100296062,0.181345762973113,-0.2058316078547031,UTI Mid Cap Fund - Regular - Growth,36.0,High
119120,0.0560116130995909,0.0396706236903387,-0.2265753866279156,SBI Magnum Gilt Fund - Regular Plan - Growth,37.0,Low
118636,0.0507863949046416,0.0398553815538826,-0.3566295075143678,Nippon India Gilt Securities Fund - Regular - Growth,38.0,Low
100025,0.0428535559622269,0.0390524552810016,-0.5670947928476846,HDFC Short Term Debt Fund - Regular - Growth,39.0,Low
101208,0.060869663986083,0.0050643713523107,-0.8155673679088258,ABSL Liquid Fund - Regular - Growth,40.0,Low
