amfi_code,scheme_name,CAGR_3Y_pct,Return_Rank,Sharpe_Rank,Alpha_Rank,Expense_Rank,MDD_Rank,Return_Score,Sharpe_Score,Alpha_Score,Expense_Score,MDD_Score,Fund_Score,Overall_Rank
148567,Mirae Asset Large Cap Fund - Regular - Growth,34.00091602163293,2.0,7.0,10.0,20.0,8.0,97.43589743589743,84.61538461538461,76.92307692307693,51.28205128205128,82.05128205128204,81.66666666666667,1
120843,Kotak Flexicap Fund - Regular - Growth,29.58277033726251,7.0,10.0,3.0,19.0,13.0,84.61538461538461,76.92307692307693,94.87179487179486,53.84615384615385,69.23076923076923,78.58974358974359,2
120507,ICICI Pru Liquid Fund - Regular - Growth,7.394286300360076,29.0,1.0,3.0,6.0,1.0,28.205128205128204,100.0,94.87179487179486,87.17948717948718,100.0,75.51282051282051,3
120504,ICICI Pru Bluechip Fund - Direct - Growth,32.48742855621496,3.0,8.0,27.0,11.0,12.0,94.87179487179486,82.05128205128204,33.33333333333333,74.35897435897436,71.7948717948718,73.97435897435896,4
100025,HDFC Short Term Debt Fund - Regular - Growth,3.9163899571040384,34.0,4.0,1.0,2.0,4.0,15.384615384615385,92.3076923076923,100.0,97.43589743589743,92.3076923076923,71.53846153846153,5
120844,Kotak Liquid Fund - Regular - Growth,6.695971624586994,30.0,2.0,12.0,3.0,2.0,25.64102564102564,97.43589743589743,71.7948717948718,94.87179487179486,97.43589743589743,70.38461538461539,6
118635,Nippon India ETF Nifty 50 BeES,20.00820838047148,17.0,16.0,6.0,12.0,10.0,58.97435897435898,61.53846153846154,87.17948717948718,71.7948717948718,76.92307692307693,68.97435897435898,7
101206,ABSL Frontline Equity Fund - Regular - Growth,28.96769452874166,9.0,10.0,16.0,29.0,9.0,79.48717948717949,76.92307692307693,61.53846153846154,28.205128205128204,79.48717948717949,67.56410256410257,8
119094,Axis Midcap Fund - Regular - Growth,35.11180209642853,1.0,24.0,14.0,15.0,28.0,100.0,41.02564102564102,66.66666666666666,64.1025641025641,30.76923076923077,66.28205128205128,9
118633,Nippon India Large Cap Fund - Direct - Growth,21.08997654925684,15.0,18.0,9.0,5.0,26.0,64.1025641025641,56.41025641025641,79.48717948717949,89.74358974358975,35.8974358974359,66.28205128205127,10
120505,ICICI Pru Midcap Fund - Regular - Growth,31.777537151234704,5.0,12.0,26.0,14.0,25.0,89.74358974358975,71.7948717948718,35.8974358974359,66.66666666666666,38.46153846153847,65.89743589743591,11
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,5.840358798463097,32.0,5.0,11.0,8.0,5.0,20.51282051282051,89.74358974358975,74.35897435897436,82.05128205128204,89.74358974358975,64.74358974358975,12
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,32.442459421956116,4.0,19.0,23.0,15.0,20.0,92.3076923076923,53.84615384615385,43.58974358974359,64.1025641025641,51.28205128205128,64.61538461538461,13
101208,ABSL Liquid Fund - Regular - Growth,6.315784491375509,31.0,3.0,19.0,10.0,3.0,23.076923076923077,94.87179487179486,53.84615384615385,76.92307692307693,94.87179487179486,62.43589743589744,14
102887,UTI Flexi Cap Fund - Regular - Growth,25.556187904126524,13.0,11.0,7.0,31.0,30.0,69.23076923076923,74.35897435897436,84.61538461538461,23.076923076923077,25.64102564102564,62.30769230769231,15
119552,SBI Bluechip Fund - Direct Plan - Growth,16.267372294624916,23.0,23.0,8.0,4.0,11.0,43.58974358974359,43.58974358974359,82.05128205128204,92.3076923076923,74.35897435897436,61.66666666666667,16
125497,HDFC Top 100 Fund - Direct Plan - Growth,18.434488610520173,19.0,11.0,20.0,13.0,18.0,53.84615384615385,74.35897435897436,51.28205128205128,69.23076923076923,56.41025641025641,61.02564102564103,17
149322,DSP Top 100 Equity Fund - Regular - Growth,18.04420648663614,21.0,15.0,5.0,24.0,16.0,48.717948717948715,64.1025641025641,89.74358974358975,41.02564102564102,61.53846153846154,60.8974358974359,18
119093,Axis Bluechip Fund - Direct - Growth,20.816771175535862,16.0,19.0,13.0,7.0,31.0,61.53846153846154,53.84615384615385,69.23076923076923,84.61538461538461,23.076923076923077,60.76923076923077,19
119598,SBI Small Cap Fund - Regular Plan - Growth,26.66992200118774,12.0,13.0,18.0,18.0,36.0,71.7948717948718,69.23076923076923,56.41025641025641,56.41025641025641,10.256410256410255,59.61538461538461,20
119551,SBI Bluechip Fund - Regular Plan - Growth,30.456524420302888,6.0,18.0,28.0,24.0,17.0,87.17948717948718,56.41025641025641,30.76923076923077,41.02564102564102,58.97435897435898,58.46153846153846,21
118636,Nippon India Gilt Securities Fund - Regular - Growth,4.062205023777143,33.0,6.0,26.0,1.0,6.0,17.94871794871795,87.17948717948718,35.8974358974359,100.0,87.17948717948718,58.07692307692308,22
118632,Nippon India Large Cap Fund - Regular - Growth,22.652359830098632,14.0,9.0,29.0,21.0,23.0,66.66666666666666,79.48717948717949,28.205128205128204,48.717948717948715,43.58974358974359,57.179487179487175,23
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.748035533586012,24.0,16.0,9.0,22.0,19.0,41.02564102564102,61.53846153846154,79.48717948717949,46.15384615384615,53.84615384615385,55.8974358974359,24
102885,UTI Nifty 50 Index Fund - Regular - Growth,19.66726206830185,18.0,14.0,24.0,27.0,7.0,56.41025641025641,66.66666666666666,41.02564102564102,33.33333333333333,84.61538461538461,55.256410256410255,25
149323,DSP Midcap Fund - Regular - Growth,26.869990828902203,11.0,17.0,22.0,30.0,22.0,74.35897435897436,58.97435897435898,46.15384615384615,25.64102564102564,46.15384615384615,54.74358974358975,26
120842,Kotak Emerging Equity Fund - Regular - Growth,7.756003551327284,28.0,11.0,2.0,26.0,33.0,30.76923076923077,74.35897435897436,97.43589743589743,35.8974358974359,17.94871794871795,54.48717948717949,27
120506,ICICI Pru Value Discovery Fund - Regular - Growth,18.421996537444542,20.0,10.0,34.0,16.0,27.0,51.28205128205128,76.92307692307693,15.384615384615385,61.53846153846154,33.33333333333333,50.256410256410255,28
120841,Kotak Bluechip Fund - Regular - Growth,17.26727508371786,22.0,19.0,17.0,28.0,24.0,46.15384615384615,53.84615384615385,58.97435897435898,30.76923076923077,41.02564102564102,47.82051282051282,29
148569,Mirae Asset Tax Saver Fund - Regular - Growth,29.178901578393777,8.0,24.0,35.0,29.0,21.0,82.05128205128204,41.02564102564102,12.82051282051282,28.205128205128204,48.717948717948715,46.53846153846153,30
149324,DSP Small Cap Fund - Regular - Growth,27.000426614519245,10.0,24.0,32.0,22.0,37.0,76.92307692307693,41.02564102564102,20.51282051282051,46.15384615384615,7.6923076923076925,45.128205128205124,31
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,11.245222866621418,26.0,24.0,25.0,9.0,29.0,35.8974358974359,41.02564102564102,38.46153846153847,79.48717948717949,28.205128205128204,43.46153846153845,32
120503,ICICI Pru Bluechip Fund - Regular - Growth,13.978381933703044,25.0,22.0,33.0,17.0,14.0,38.46153846153847,46.15384615384615,17.94871794871795,58.97435897435898,66.66666666666666,42.17948717948718,33
119599,SBI Small Cap Fund - Direct Plan - Growth,-1.337386614488112,38.0,14.0,20.0,5.0,40.0,5.128205128205128,66.66666666666666,51.28205128205128,89.74358974358975,0.0,41.92307692307692,34
101207,ABSL Small Cap Fund - Regular - Growth,-4.152381044854481,39.0,17.0,4.0,23.0,38.0,2.564102564102564,58.97435897435898,92.3076923076923,43.58974358974359,5.128205128205128,41.02564102564103,35
119092,Axis Bluechip Fund - Regular - Growth,0.5258871209757432,36.0,20.0,15.0,31.0,15.0,10.256410256410255,51.28205128205128,64.1025641025641,23.076923076923077,64.1025641025641,38.589743589743584,36
100016,HDFC Top 100 Fund - Regular Plan - Growth,1.292649342495622,35.0,7.0,31.0,25.0,34.0,12.82051282051282,84.61538461538461,23.076923076923077,38.46153846153847,15.384615384615385,36.92307692307693,37
118634,Nippon India Small Cap Fund - Regular - Growth,8.007927728656083,27.0,23.0,30.0,23.0,32.0,33.33333333333333,43.58974358974359,25.64102564102564,43.58974358974359,20.51282051282051,34.61538461538461,38
102886,UTI Mid Cap Fund - Regular - Growth,-0.7674063178547241,37.0,22.0,21.0,21.0,35.0,7.6923076923076925,46.15384615384615,48.717948717948715,48.717948717948715,12.82051282051282,32.17948717948718,39
119095,Axis Small Cap Fund - Regular - Growth,-11.705806723995272,40.0,21.0,36.0,15.0,39.0,0.0,48.717948717948715,10.256410256410255,64.1025641025641,2.564102564102564,24.102564102564102,40
