date,amfi_code,scheme_name,Benchmark,Rolling_30D_Tracking_Difference_pct
2022-01-03,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,
2022-01-03,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,
2022-01-04,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,
2022-01-04,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,
2022-01-05,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,
2022-01-05,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,
2022-01-06,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,
2022-01-06,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,
2022-01-07,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,
2022-01-07,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,
2022-01-10,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,
2022-01-10,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,
2022-01-11,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,
2022-01-11,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,
2022-01-12,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,
2022-01-12,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,
2022-01-13,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,
2022-01-13,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,
2022-01-14,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,
2022-01-14,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,
2022-01-17,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,
2022-01-17,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,
2022-01-18,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,
2022-01-18,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,
2022-01-19,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,
2022-01-19,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,
2022-01-20,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,
2022-01-20,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,
2022-01-21,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,
2022-01-21,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,
2022-01-24,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,
