amfi_code,HHI,Total_Weight,Sector_Count,Concentration_Level
119092,2064.4766999999997,99.99,7,High Concentration
101207,2007.0043,99.99,6,High Concentration
119599,1747.5095999999999,100.0,7,Moderate Concentration
102885,1747.0902,100.0,8,Moderate Concentration
118632,1682.982,100.02000000000001,6,Moderate Concentration
148568,1679.2973,99.99,6,Moderate Concentration
120505,1575.7036,100.02,7,Moderate Concentration
120506,1537.936,100.02,7,Moderate Concentration
125498,1524.1398,100.0,6,Moderate Concentration
120841,1496.8035,100.01,7,Moderate Concentration
148569,1493.9642,99.97999999999999,7,Moderate Concentration
100033,1475.9225999999999,100.0,7,Moderate Concentration
149323,1416.2096,100.0,7,Moderate Concentration
120503,1408.7026,100.0,7,Moderate Concentration
100016,1395.3386,100.0,8,Moderate Concentration
148567,1385.8417,99.99,6,Moderate Concentration
125497,1365.8554,100.0,7,Moderate Concentration
119094,1364.0591000000002,100.01,6,Moderate Concentration
118635,1359.4415000000001,99.99,6,Moderate Concentration
149322,1343.9797,99.99,7,Moderate Concentration
119093,1308.9424,100.0,8,Moderate Concentration
102887,1298.0494999999999,100.00999999999999,6,Moderate Concentration
101206,1293.3173,100.01,7,Moderate Concentration
120843,1286.8306,100.0,9,Moderate Concentration
120842,1274.3881,99.99,8,Moderate Concentration
118633,1214.6086,100.0,7,Moderate Concentration
119551,1187.1552,100.0,8,Moderate Concentration
149324,1186.7710000000002,100.0,9,Moderate Concentration
102886,1146.9284,99.98,10,Moderate Concentration
119095,1096.0535,99.99000000000001,8,Moderate Concentration
120504,1086.7415,100.01,8,Moderate Concentration
118634,1083.5772,100.0,8,Moderate Concentration
119552,1080.1069,100.01,7,Moderate Concentration
119598,1073.4895000000001,99.99,7,Moderate Concentration
